TT	PID	AT	CT	IO_D	WT	RT	TRT
15	4	5	10	-	0	0	10	
19	8	10	9	-	0	0	9	
30	10	12	18	-	0	0	18	
42	15	19	11	-	12	11	23	
70	16	21	27	-	22	21	49	
74	148	3	71	-	0	0	71	
74	149	9	64	-	65	65	65	
74	153	69	4	-	5	0	5	
75	2	3	72	-	0	0	72	
75	151	55	19	-	20	0	20	
81	6	8	73	-	0	0	73	
84	31	48	7	-	29	29	36	
90	50	70	14	-	6	5	20	
105	5	5	100	-	0	0	100	
112	58	81	6	-	25	0	31	
113	42	59	31	-	23	22	54	
114	51	71	43	-	0	0	43	
114	155	95	18	-	19	0	19	
114	156	97	16	-	17	0	17	
114	43	59	13	11	42	0	55	
115	38	52	9	-	54	53	63	
125	56	78	17	-	30	0	47	
127	57	79	48	-	0	0	48	
138	40	55	34	-	49	0	83	
139	152	61	54	-	24	24	78	
139	154	86	52	-	53	0	53	
139	157	98	40	-	41	0	41	
144	76	104	13	-	27	27	40	
151	1	1	115	-	35	0	150	
151	150	28	87	-	109	89	123	
162	87	115	18	-	29	29	47	
162	160	160	1	-	2	0	2	
162	39	54	46	-	62	61	108	
164	21	26	50	-	88	87	138	
169	69	91	78	-	0	0	78	
169	158	125	43	-	38	38	44	
169	159	132	36	-	37	0	37	
178	74	99	26	-	53	52	79	
183	91	120	63	-	0	0	63	
184	83	108	27	-	49	48	76	
203	98	135	40	-	28	27	68	
206	124	165	27	-	14	14	41	
206	164	204	1	-	2	0	2	
207	86	113	28	-	66	65	94	
222	106	140	49	-	33	32	82	
222	44	62	42	-	118	0	160	
224	146	200	1	-	23	22	24	
233	61	83	149	-	1	0	150	
233	165	208	24	-	25	0	25	
248	161	175	41	-	32	32	73	
248	166	235	12	-	2	3	13	
248	110	146	9	-	93	0	102	
249	49	70	115	-	64	0	179	
268	95	130	77	-	61	8	138	
280	138	188	57	-	35	34	92	
286	142	194	53	-	39	39	92	
287	167	271	15	-	1	1	16	
287	162	181	35	-	71	71	106	
287	168	274	12	-	13	0	13	
300	84	110	123	-	67	0	190	
307	105	140	57	-	110	109	167	
333	52	72	23	-	238	0	261	
339	20	26	106	-	207	64	313	
342	27	39	7	-	296	0	303	
342	144	197	61	-	84	83	145	
343	163	183	55	-	105	105	160	
343	169	326	16	-	4	1	17	
378	78	105	49	-	224	0	273	
388	9	11	62	-	315	0	377	
393	18	22	141	-	230	0	371	
416	88	116	73	-	227	226	300	
420	71	93	112	-	215	214	327	
422	70	92	20	-	310	309	330	
433	99	135	12	-	286	285	298	
434	22	29	42	-	363	0	405	
437	77	104	15	24	318	40	333	
438	47	65	72	-	301	221	373	
443	102	138	17	43	288	26	305	
443	119	157	28	37	258	0	286	
456	65	89	85	-	282	0	367	
489	114	153	30	-	306	54	336	
504	126	166	40	-	298	37	338	
511	129	170	43	12	298	83	341	
533	130	171	68	-	294	0	362	
534	54	73	110	-	351	0	461	
534	140	194	49	-	291	0	340	
540	118	156	105	-	279	278	384	
546	55	76	112	-	358	357	470	
571	45	63	24	-	484	483	508	
582	37	51	51	-	480	0	531	
589	46	64	60	-	465	0	525	
601	28	41	26	-	534	0	560	
616	145	199	108	-	309	0	417	
618	82	108	41	-	469	0	510	
632	80	108	135	-	389	155	524	
646	67	89	43	-	514	514	557	
653	3	4	89	-	560	0	649	
697	30	45	44	-	608	601	652	
703	112	151	44	-	508	0	552	
710	128	170	106	-	434	0	540	
714	93	124	94	-	496	0	590	
724	117	155	44	-	525	18	569	
724	107	142	48	-	534	0	582	
748	104	140	24	38	584	282	608	
756	72	94	61	-	601	0	662	
764	136	184	58	-	522	0	580	
773	134	179	58	-	536	453	594	
776	132	176	16	-	584	0	600	
782	12	14	56	-	712	0	768	
813	92	123	120	-	570	125	690	
816	137	186	119	-	511	0	630	
825	48	68	103	-	654	176	757	
836	81	108	77	-	651	295	728	
848	89	116	137	-	595	0	732	
862	41	57	56	-	749	4	805	
863	7	8	112	41	743	0	855	
876	120	158	59	-	659	0	718	
890	24	32	87	-	771	0	858	
908	111	149	55	-	704	0	759	
940	103	139	148	58	653	171	801	
961	68	89	134	-	738	0	872	
967	100	135	120	-	712	0	832	
970	36	51	138	-	781	0	919	
977	63	89	76	-	812	0	888	
980	34	49	142	-	789	0	931	
989	13	15	123	21	851	0	974	
1011	32	48	90	38	873	0	963	
1021	29	42	114	-	865	0	979	
1024	97	134	113	-	777	406	890	
1030	23	30	136	-	864	0	1000	
1037	122	161	138	-	738	626	876	
1058	101	135	27	-	896	895	923	
1066	62	86	129	-	851	0	980	
1095	96	132	139	-	824	450	963	
1097	53	73	59	55	965	41	1024	
1103	109	145	101	-	857	0	958	
1117	59	81	137	51	899	0	1036	
1124	75	101	138	-	885	0	1023	
1153	60	81	127	-	945	0	1072	
1158	19	23	147	-	988	0	1135	
1173	64	89	68	-	1016	0	1084	
1182	115	154	117	-	911	0	1028	
1182	14	17	137	-	1028	2	1165	
1205	125	166	108	-	931	0	1039	
1237	135	182	93	52	962	118	1055	
1258	26	37	111	-	1110	0	1221	
1261	127	167	137	-	957	0	1094	
1264	66	89	123	-	1052	209	1175	
1268	33	48	145	-	1075	0	1220	
1301	17	21	120	-	1160	49	1280	
1304	116	155	124	-	1025	562	1149	
1333	141	194	144	-	995	0	1139	
1350	35	49	143	-	1158	0	1301	
1351	79	105	134	-	1112	0	1246	
1354	108	143	134	-	1077	6	1211	
1379	139	191	86	50	1102	0	1188	
1384	73	97	116	68	1171	171	1287	
1423	121	160	109	44	1154	0	1263	
1427	143	196	81	-	1150	0	1231	
1433	131	173	141	-	1119	0	1260	
1455	147	200	138	33	1117	0	1255	
1458	11	12	89	-	1357	0	1446	
1459	85	113	130	-	1216	0	1346	
1483	133	177	147	-	1159	446	1306	
1488	90	119	116	-	1253	0	1369	
1494	113	151	147	-	1196	0	1343	
1544	123	162	141	49	1241	0	1382	
1586	94	127	136	87	1323	0	1459	
1633	25	34	148	55	1451	0	1599	
---------------------------------------
Processes: 169
Avg WT = 453,	Avg RT = 63,	Avg TRT = 522,
Migration:	RTF = 4%,   	MaxW = 565%
Work Steal: 121%
Forked Process: 13%	Killed Process: 9%

Processors: 12 [ 3 FCFS, 4 SJF, 2 RR, 3 EDF]
Processors Load
p1 = 0.30889%,	p2 = 0.256843%,	p3 = 0.246659%,	p4 = 1.40415%,	p5 = 1.47769%,	p6 = 1.37699%,	p7 = 1.28761%,	p8 = 1.38944%,	p9 = 1.39057%,	p10 = 1.54219%,	p11 = 1.42338%,	p12 = 1.43017%,	
Processors Utiliz
p1 = 16%,	p2 = 14%,	p3 = 13%,	p4 = 91%,	p5 = 95%,	p6 = 80%,	p7 = 77%,	p8 = 81%,	p9 = 80%,	p10 = 85%,	p11 = 79%,	p12 = 80%,	
Avg utilization = 64%
Percentage of Processes ended before EDF: 10 %
